Name	GPValue	Weight	Type
Adamantine Bullet	61	0.1	ammo
Adam. F. Bullet	61	0.0166666667	ammo
Alchemists Bullet	330	0.5	ammo
Arrow	0.05	0.1	ammo
Arrow +1	46	0.1	ammo
Arrow +2	166	0.1	ammo
Arrow +3	366	0.1	ammo
Arrow +4	646	0.1	ammo
Arrow +5	1006	0.1	ammo
Arrow, Blunt	0.1	0.15	ammo
Arrow, Flight	0.1	0.15	ammo
Arrow, Masterwork	6.05	0.1	ammo
Arrow, Masterwork Silver	8.05	0.1	ammo
Arrow, Silver	2.05	0.1	ammo
Arrow, Smoke	10	0.1	ammo
Bamboo Shaft Arrow	0.1	0.05	ammo
Bolt	0.1	0.1	ammo
Bolt, Masterwork	6.1	0.1	ammo
Bolt, Masterwork Silver	8.1	0.1	ammo
Burrowing Bullet	1722	0.0166666667	ammo
Crossbow Bolt	0.1	0.1	ammo
Crossbow Bolt +1	46	0.1	ammo
Crossbow Bolt +2	166	0.1	ammo
Crossbow Bolt +3	366	0.1	ammo
Crossbow Bolt +4	646	0.1	ammo
Crossbow Bolt +5	1006	0.1	ammo
Crossbow Bolt, Masterwork	6.1	0.1	ammo
Crossbow Bolt, Masterwork Silver	8.1	0.1	ammo
Crossbow Bolt, Silver	2.1	0.1	ammo
Dragons Breath A.C.	40	0.0333333333	ammo
Dust Bolt	1730	0.1	ammo
Dustburst Bullet 	196	0.5	ammo
Entangling Shot A.C.	40	0.0333333333	ammo
Firearm Bullet	1	0.0166666667	ammo
Firearm Bullet, Pitted	5	0.0166666667	ammo
Firearm Bullet, Silver	25	0.0166666667	ammo
Flare A.C.	10	0.0333333333	ammo
Grappling Arrow	1	0.5	ammo
Grappling Arrow (LB)	1	0.5	ammo
Grappling Arrow (SB)	1	0.5	ammo
Grappling Bolt	1	0.5	ammo
Greater Hushing Arrow	1047	0.05	ammo
Greater Hushing Bolt	1047	0.1	ammo
Greater Slaying Arrow	4057	0.1	ammo
Hushing Arrow	547	0.05	ammo
Hushing Bolt	547	0.1	ammo
Iron-Tipped Distance Arrow	0.05	0.2	ammo
Metal Cartridge	15	0.0333333333	ammo
Paper A.C.	12	0.0333333333	ammo
Pellets	1	0.0166666667	ammo
Pellets (handful)	1	0.0166666667	ammo
Pitted Firearm Bullet	5	0.0166666667	ammo
Rep. Crossbow Bolt	0.2	0.1	ammo
Rep. Crossbow Bolt, Masterwork	6.2	0.1	ammo
Rep. Crossbow Bolt, Masterwork Silver	8.2	0.1	ammo
Rep. Crossbow Bolt, Silver	2.2	0.1	ammo
Repeating Crossbow Bolt +1	46	0.1	ammo
Repeating Crossbow Bolt +2	166	0.1	ammo
Repeating Crossbow Bolt +3	366	0.1	ammo
Repeating Crossbow Bolt +4	646	0.1	ammo
Repeating Crossbow Bolt +5	1006	0.1	ammo
Salt Shot A.C.	12	0.0333333333	ammo
Screaming Bolt	267	0.1	ammo
Searing Arrow	1516	0.1	ammo
Shuriken	0.2	0.1	ammo
Shuriken +1	46.2	0.1	ammo
Shuriken +2	166.2	0.1	ammo
Shuriken +3	366.2	0.1	ammo
Shuriken +4	646.2	0.1	ammo
Shuriken +5	1006.2	0.1	ammo
Shuriken, Masterwork	6.2	0.1	ammo
Shuriken, Masterwork Silver	8.2	0.1	ammo
Shuriken, Silver	2.2	0.1	ammo
Silver Firearm Bullet	5	0.0166666667	ammo
Sizzling Arrow	1516	0.1	ammo
Slaying Arrow	2282	0.1	ammo
Sleep Arrow	132	0.1	ammo
Sling Bullet	0.01	0.5	ammo
Sling Bullet +1	46	0.5	ammo
Sling Bullet +2	166	0.5	ammo
Sling Bullet +3	366	0.5	ammo
Sling Bullet +4	646	0.5	ammo
Sling Bullet +5	1006	0.5	ammo
Sling Bullet, Masterwork	6.01	0.5	ammo
Sling Bullet, Masterwork Silver	8.01	0.5	ammo
Sling Bullet, Silver	2.01	0.5	ammo
Tangle Bolt	226	0.1	ammo
Tracer Bullet	100	0.0166666667	ammo
Whistling Arrow	0.05	0.2	ammo
