Name	GPValue	Weight	Type
Anathema Archive	0	2	artifact
Argental Font	0	2000	artifact
Axe of the Dwarvish Lords	0	8	artifact
Beacon of True Faith	0	2	artifact
Bell of Mercy	0	2000	artifact
Blackaxe	0	50	artifact
Bone House	0	2	artifact
Book of Infinite Spells	0	3	artifact
Book of the Damned (Original)	0	40	artifact
Book of the Damned: Daemonic	0	12	artifact
Book of the Damned: Demonic	0	12	artifact
Bottle of the Bound	0	4	artifact
Branch of Life	0	1	artifact
Brazen Egg	0	4000	artifact
Celestial Lens	0	2400	artifact
Chronicle of the Righteous	0	12	artifact
Cloud Castle of the Storm King	0	0	artifact
Codex of the Infinite Planes	0	300	artifact
Crown of the Iron King	0	3	artifact
Crown of the Simurgh	0	1	artifact
Cup of Forbidden Knowledge	0	2	artifact
Dancing Hut of Baba Yaga	0	3500	artifact
Dark Grimoire	0	6	artifact
Deck of Harrowed Tales	0	1	artifact
Deck of Many Things	0	0	artifact
Deck of Many Things, Harrow	0	0	artifact
Demon Prince Armor	0	80	artifact
Dragon Seal	0	0	artifact
Dragon Slayer	0	5	artifact
Elder Sign	0	10	artifact
Enemy of All Enemies	0	12	artifact
Flame of Guidance	0	1	artifact
Fork of the Forgotten One	0	12	artifact
Gem of Dreams	0	2	artifact
Hammer of Thunderbolts	0	5	artifact
Hourglass of Shadows	0	350	artifact
Id Portrait	0	50	artifact
Jar of Dragons Teeth	0	3	artifact
Knucklebone of Fickle Fortune	0	0	artifact
Maleficus Spike	0	16	artifact
Mantis Blade	0	2	artifact
Moaning Diamond	0	4	artifact
Monkeys Paw	0	2	artifact
Orb of Dragon Mastery	0	4	artifact
Orb of Dragonkin, Dragon Turtle	0	4	artifact
Orb of Dragonkin, Drake	0	4	artifact
Orb of Dragonkin, Faerie Dragon	0	4	artifact
Orb of Dragonkin, Gorynych	0	4	artifact
Orb of Dragonkin, Jabberwock	0	4	artifact
Orb of Dragonkin, Kongamato	0	4	artifact
Orb of Dragonkin, Linnorm	0	4	artifact
Orb of Dragonkin, Pseudodragon	0	4	artifact
Orb of Dragonkin, Spine Dragon	0	4	artifact
Orb of Dragonkin, Tatzlwyrm	0	4	artifact
Orb of Dragonkin, Wyvern	0	4	artifact
Orb of Dragonkind, Black	0	5	artifact
Orb of Dragonkind, Blue	0	5	artifact
Orb of Dragonkind, Brass	0	5	artifact
Orb of Dragonkind, Bronze	0	5	artifact
Orb of Dragonkind, Copper	0	5	artifact
Orb of Dragonkind, Gold	0	5	artifact
Orb of Dragonkind, Green	0	5	artifact
Orb of Dragonkind, Red	0	5	artifact
Orb of Dragonkind, Silver	0	5	artifact
Orb of Dragonkind, White	0	5	artifact
Orb of Dragonshape, Black	0	4	artifact
Orb of Dragonshape, Blue	0	4	artifact
Orb of Dragonshape, Brass	0	4	artifact
Orb of Dragonshape, Bronze	0	4	artifact
Orb of Dragonshape, Copper	0	4	artifact
Orb of Dragonshape, Gold	0	4	artifact
Orb of Dragonshape, Green	0	4	artifact
Orb of Dragonshape, Red	0	4	artifact
Orb of Dragonshape, Silver	0	4	artifact
Orb of Dragonshape, White	0	4	artifact
Perfect Golden Lute	0	3	artifact
Perfections Key	0	0.5	artifact
Philosophers Stone	0	3	artifact
Phylactery of the Failed	0	5	artifact
Raven’s Head	0	8	artifact
Reprisal	0	1	artifact
Revelation Quill	0	3	artifact
Ring of Nine Facets	0	0	artifact
Runescarred Dragonship	0	52000	artifact
Runeslave Cauldron	0	900	artifact
Runewell Amulet	0	0	artifact
Runewell of Greed	0	900	artifact
Runewell, Minor	0	900	artifact
Saint Cuthberts Mace	0	8	artifact
Scepter of Ages	0	8	artifact
Shadowstaff	0	5	artifact
Shield of the Sun	0	2	artifact
Shield of the Winged Eye	0	10	artifact
Skull of the Viper God	0	150	artifact
Skullsoul	0	8	artifact
Song of Extinction (Music Box)	0	3	artifact
Sphere of Annihilation	0	0	artifact
Spindle of Perfect Knowledge	0	0	artifact
Staff of the Magi	0	5	artifact
Sword of Greed	0	4	artifact
Talisman of Pure Good	0	0	artifact
Talisman of Reluctant Wishes	0	1	artifact
Talisman of the Sphere	0	1	artifact
Talisman of Ultimate Evil	0	0	artifact
The Briar Blade	0	6	artifact
The Jewel of Everlasting Gold	0	5	artifact
Thorncrown of Blasting	0	1	artifact
Unending Tome	0	5	artifact
Vernal Key	0	5	artifact
Visionary Lens	0	50	artifact
Warding Box	0	5	artifact
Weird Queens Magpie	0	2	artifact
