Name	GPValue	Weight	Type	Details
Adamantine Breastplate	10200	30	armor	medium
Agile breastplate Armor	400	25	armor	medium
Agile half-plate Armor	850	55	armor	heavy
Antimagic Armor	871500	50	armor	heavy
Armor Of Insults	16175	20	armor	light
Armor of the Abyssal Horde	768260	50	armor	heavy
Armor of the Celestial Battalion	616300	10	armor	light
Armored coat Armor	50	20	armor	medium
Banded Mail Armor	250	35	armor	heavy
Banded Mail of Luck	18900	35	armor	heavy
Boneless Leather	12160	15	armor	light
Breastplate Armor	200	30	armor	medium
Breastplate of Command	25400	30	armor	medium
Breastplate of Vanishing	15200	15	armor	light
Buccaneers Breastplate	23850	30	armor	medium
Catskin Leather	18910	15	armor	light
Celestial Armor	22400	20	armor	light
Chain Shirt Armor	100	25	armor	light
Chainmail Armor	150	40	armor	medium
Cloud Giant Hide Armor	69165	25	armor	medium
Daystar Half-Plate	81250	50	armor	heavy
Demon Armor	52260	50	armor	heavy
Do-maru Armor	200	30	armor	medium
Dragonhide Plate	3300	50	armor	heavy
Dragonskin Armor (Black)	564550	50	armor	heavy
Dragonskin Armor (Blue)	564550	50	armor	heavy
Dragonskin Armor (Brass)	564550	50	armor	heavy
Dragonskin Armor (Bronze)	564550	50	armor	heavy
Dragonskin Armor (Copper)	564550	50	armor	heavy
Dragonskin Armor (Gold)	564550	50	armor	heavy
Dragonskin Armor (Green)	564550	50	armor	heavy
Dragonskin Armor (Red)	564550	50	armor	heavy
Dragonskin Armor (Silver)	564550	50	armor	heavy
Dragonskin Armor (White)	564550	50	armor	heavy
Dwarven Plate	16500	50	armor	heavy
Elven Chain	5150	20	armor	light
Enchanted Eelskin	11160	15	armor	light
Equestrian Plate	10650	50	armor	heavy
Fire Giant Hide Armor	54165	25	armor	medium
Folding Plate	12650	50	armor	heavy
Forsaken Banded Mail	25400	35	armor	heavy
Forsaken Banded Mail 	25400	35	armor	heavy
Four-mirror Armor	45	45	armor	medium
Frost Giant Hide Armor	54165	25	armor	medium
Full Plate Armor	1500	50	armor	heavy
Giant-hide armor (cloud giant)	69165	25	armor	medium
Giant-hide armor (fire giant)	54165	25	armor	medium
Giant-hide armor (frost giant)	54165	25	armor	medium
Giant-hide armor (hill giant)	46665	25	armor	medium
Giant-hide armor (ogre)	39165	25	armor	medium
Giant-hide armor (stone giant)	54165	25	armor	medium
Giant-hide armor (storm giant)	76665	25	armor	medium
Giant-hide armor (troll)	59165	25	armor	medium
Half Plate Armor	600	50	armor	heavy
Hamatula Hide	44215	12	armor	medium
Haramaki Armor	3	1	armor	light
Hide Armor	15	25	armor	medium
Hill Giant Hide Armor	46665	25	armor	medium
Invincible Armor (bludgeoning)	137650	50	armor	heavy
Invincible Armor (piercing)	137650	50	armor	heavy
Invincible Armor (slashing)	137650	50	armor	heavy
Kikko Armor	30	25	armor	medium
Kusari Gusoku Armor	350	45	armor	heavy
Lamellar Cuirass Armor	15	8	armor	light
Lamellar Horn Armor	100	30	armor	medium
Lamellar Iron Armor	200	50	armor	heavy
Lamellar Leather Armor	60	25	armor	light
Lamellar Steel Armor	150	35	armor	medium
Leather Armor	10	15	armor	light
Mail of Malevolence	61300	40	armor	medium
Mistmail	2250	25	armor	light
Mistmail Armor	2250	25	armor	light
Mithral Full Plate of Speed	26500	25	armor	medium
Mithral Shirt	1100	10	armor	light
Morlock Hide	8910	15	armor	light
Mountain Pattern Armor	250	40	armor	medium
Murderers Blackcloth	12405	10	armor	light
Murderers Blackcloth Armor	12405	10	armor	light
Ogre Hide Armor	39165	25	armor	medium
Otyugh Hide	2565	25	armor	medium
O-yoroi Armor	1700	45	armor	heavy
Padded Armor	5	10	armor	light
Parade Armor	25	20	armor	light
Plate Armor of the Deep	24650	50	armor	heavy
Prismatic Plate (blue)	160650	50	armor	heavy
Prismatic Plate (green)	160650	50	armor	heavy
Prismatic Plate (indigo)	160650	50	armor	heavy
Prismatic Plate (orange)	160650	50	armor	heavy
Prismatic Plate (red)	160650	50	armor	heavy
Prismatic Plate (violet)	160650	50	armor	heavy
Prismatic Plate (yellow)	160650	50	armor	heavy
Quilted cloth Armor	100	15	armor	light
Rhino Hide	5165	25	armor	medium
Scale Mail Armor	50	30	armor	medium
Scarab Breastplate	32350	30	armor	medium
Shapeshifters Armor	400165	25	armor	medium
Silken Ceremonial Armor	30	4	armor	light
Soothsayers Raiment	10300	40	armor	medium
Soothsayers Raiment Armor	10300	40	armor	medium
Splint Mail Armor	200	45	armor	heavy
Stone Coat Armor	500	45	armor	heavy
Stone Giant Hide Armor	54165	25	armor	medium
Stoneplate Armor	1800	75	armor	heavy
Storm Giant Hide Armor	69165	25	armor	medium
Studded Leather Armor	25	20	armor	light
Tatami-do Armor	1000	45	armor	heavy
