Name	GPValue	Weight	Type
Decoy Ring	12000	0	ring
Dungeon Ring (Jailers)	16000	0	ring
Dungeon Ring (Prisoners)	250	0	ring
Ring of Adamant Law	250000	0	ring
Ring of Animal Friendship	10800	0	ring
Ring of Arcane Mastery	20000	0	ring
Ring of Arcane Signets	1000	0	ring
Ring of Blinking	27000	0	ring
Ring of Chameleon Power	12700	0	ring
Ring of Chaotic Fury	250000	0	ring
Ring of Climbing	2500	0	ring
Ring of Climbing, improved	10000	0	ring
Ring of Continuation	56000	0	ring
Ring of Counterspells	4000	0	ring
Ring of Craft Magic	12000	0	ring
Ring of Curing	10000	0	ring
Ring of Delayed Doom (1 stone)	5000	0	ring
Ring of Delayed Doom (2 stone)	10000	0	ring
Ring of Delayed Doom (3 stone)	15000	0	ring
Ring of Delayed Doom (4 stone)	20000	0	ring
Ring of Delayed Doom (5 stone)	25000	0	ring
Ring of Delayed Doom (6 stone)	30000	0	ring
Ring of Delayed Doom (7 stone)	35000	0	ring
Ring of Delayed Doom (8 stone)	40000	0	ring
Ring of Delayed Doom (9 stone)	45000	0	ring
Ring of Djinni Calling	125000	0	ring
Ring of Ectoplasmic Invigoration	12000	0	ring
Ring of Elemental Command (Air)	200000	0	ring
Ring of Elemental Command (Earth)	200000	0	ring
Ring of Elemental Command (Fire)	200000	0	ring
Ring of Elemental Command (Water)	200000	0	ring
Ring of Energy Immunity (Acid)	240000	0	ring
Ring of Energy Immunity (Cold)	240000	0	ring
Ring of Energy Immunity (Electricity)	240000	0	ring
Ring of Energy Immunity (Fire)	240000	0	ring
Ring of Energy Immunity (Sonic)	240000	0	ring
Ring of Energy Resistance (Acid, Greater)	44000	0	ring
Ring of Energy Resistance (Acid, Major)	28000	0	ring
Ring of Energy Resistance (Acid, Minor)	12000	0	ring
Ring of Energy Resistance (Cold, Greater)	44000	0	ring
Ring of Energy Resistance (Cold, Major)	28000	0	ring
Ring of Energy Resistance (Cold, Minor)	12000	0	ring
Ring of Energy Resistance (Electricity, Greater)	44000	0	ring
Ring of Energy Resistance (Electricity, Major)	28000	0	ring
Ring of Energy Resistance (Electricity, Minor)	12000	0	ring
Ring of Energy Resistance (Fire, Greater)	44000	0	ring
Ring of Energy Resistance (Fire, Major)	28000	0	ring
Ring of Energy Resistance (Fire, Minor)	12000	0	ring
Ring of Energy Resistance (Sonic, Greater)	44000	0	ring
Ring of Energy Resistance (Sonic, Major)	28000	0	ring
Ring of Energy Resistance (Sonic, Minor)	12000	0	ring
